"estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno"
"Santa Catarina","Paulo Maluf ","PDS","PDS",236151,0.349266890938987,"Presidente",1989,"Turno 1"
"R. G. do Sul","Paulo Maluf ","PDS","PDS",309406,0.457610900050681,"Presidente",1989,"Turno 1"
"M. G. do Sul","Paulo Maluf ","PDS","PDS",47237,0.0698634353751835,"Presidente",1989,"Turno 1"
"Mato Grosso","Paulo Maluf ","PDS","PDS",43679,0.0646011599752871,"Presidente",1989,"Turno 1"
"Goiás","Paulo Maluf ","PDS","PDS",80376,0.118875954902211,"Presidente",1989,"Turno 1"
"Distrito Federal","Paulo Maluf ","PDS","PDS",31364,0.0463872978196595,"Presidente",1989,"Turno 1"
"Rondônia","Guilherme Afif ","PL","PL PDC",26123,0.0386358685417346,"Presidente",1989,"Turno 1"
"Acre","Guilherme Afif ","PL","PL PDC",7149,0.0105733577385775,"Presidente",1989,"Turno 1"
"Amazonas","Guilherme Afif ","PL","PL PDC",36544,0.0540485082107395,"Presidente",1989,"Turno 1"
"Roraima","Guilherme Afif ","PL","PL PDC",2252,0.00333070382253135,"Presidente",1989,"Turno 1"
"Pará","Guilherme Afif ","PL","PL PDC",65419,0.0967545796475036,"Presidente",1989,"Turno 1"
"Amapá","Guilherme Afif ","PL","PL PDC",4323,0.00639370898081838,"Presidente",1989,"Turno 1"
"Tocantins","Guilherme Afif ","PL","PL PDC",9822,0.0145267197801523,"Presidente",1989,"Turno 1"
"Maranhão","Guilherme Afif ","PL","PL PDC",54021,0.0798969587908374,"Presidente",1989,"Turno 1"
"Piauí","Guilherme Afif ","PL","PL PDC",36829,0.0544700226820634,"Presidente",1989,"Turno 1"
"Ceará","Guilherme Afif ","PL","PL PDC",60228,0.0890771002768285,"Presidente",1989,"Turno 1"
"R. G. do Norte","Guilherme Afif ","PL","PL PDC",20846,0.0308311953305899,"Presidente",1989,"Turno 1"
"Paraíba","Guilherme Afif ","PL","PL PDC",25659,0.0379496134024564,"Presidente",1989,"Turno 1"
"Pernambuco","Guilherme Afif ","PL","PL PDC",70093,0.103667416977216,"Presidente",1989,"Turno 1"
"Alagoas","Guilherme Afif ","PL","PL PDC",26869,0.0397392011579017,"Presidente",1989,"Turno 1"
"Sergipe","Guilherme Afif ","PL","PL PDC",9744,0.0144113579248426,"Presidente",1989,"Turno 1"
"Bahia","Guilherme Afif ","PL","PL PDC",100970,0.149334442700262,"Presidente",1989,"Turno 1"
"Minas Gerais","Guilherme Afif ","PL","PL PDC",503027,0.743975999882982,"Presidente",1989,"Turno 1"
"Espírito Santo","Guilherme Afif ","PL","PL PDC",45644,0.0675073913302046,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Guilherme Afif ","PL","PL PDC",191751,0.283599373301158,"Presidente",1989,"Turno 1"
"São Paulo","Guilherme Afif ","PL","PL PDC",807944,1.19494767726077,"Presidente",1989,"Turno 1"
"Paraná","Guilherme Afif ","PL","PL PDC",494608,0.731524314500259,"Presidente",1989,"Turno 1"
"Santa Catarina","Guilherme Afif ","PL","PL PDC",206957,0.30608901909397,"Presidente",1989,"Turno 1"
"R. G. do Sul","Guilherme Afif ","PL","PL PDC",178311,0.26372163823241,"Presidente",1989,"Turno 1"
"M. G. do Sul","Guilherme Afif ","PL","PL PDC",60061,0.0888301075866142,"Presidente",1989,"Turno 1"
"Mato Grosso","Guilherme Afif ","PL","PL PDC",66916,0.0989686398705628,"Presidente",1989,"Turno 1"
"Goiás","Guilherme Afif ","PL","PL PDC",111808,0.16536382459573,"Presidente",1989,"Turno 1"
"Distrito Federal","Guilherme Afif ","PL","PL PDC",48068,0.0710924828336753,"Presidente",1989,"Turno 1"
"Rondônia","Ulysses Guimarães ","PMDB","PMDB",19370,0.0286481940685756,"Presidente",1989,"Turno 1"
"Acre","Ulysses Guimarães ","PMDB","PMDB",14580,0.021563792954044,"Presidente",1989,"Turno 1"
"Amazonas","Ulysses Guimarães ","PMDB","PMDB",17303,0.0255911049028685,"Presidente",1989,"Turno 1"
"Roraima","Ulysses Guimarães ","PMDB","PMDB",1589,0.00235012805239889,"Presidente",1989,"Turno 1"
"Pará","Ulysses Guimarães ","PMDB","PMDB",66384,0.0981818128574249,"Presidente",1989,"Turno 1"
"Amapá","Ulysses Guimarães ","PMDB","PMDB",3883,0.00574294979702008,"Presidente",1989,"Turno 1"
"Tocantins","Ulysses Guimarães ","PMDB","PMDB",32701,0.0483647183395193,"Presidente",1989,"Turno 1"
"Maranhão","Ulysses Guimarães ","PMDB","PMDB",72794,0.10766219096685,"Presidente",1989,"Turno 1"
"Piauí","Ulysses Guimarães ","PMDB","PMDB",61037,0.0902736097761304,"Presidente",1989,"Turno 1"
"Ceará","Ulysses Guimarães ","PMDB","PMDB",85406,0.126315315571542,"Presidente",1989,"Turno 1"
"R. G. do Norte","Ulysses Guimarães ","PMDB","PMDB",139093,0.20571828898195,"Presidente",1989,"Turno 1"
"Paraíba","Ulysses Guimarães ","PMDB","PMDB",97634,0.144400504888555,"Presidente",1989,"Turno 1"
"Pernambuco","Ulysses Guimarães ","PMDB","PMDB",89991,0.133096522066349,"Presidente",1989,"Turno 1"
"Alagoas","Ulysses Guimarães ","PMDB","PMDB",9138,0.0135150850489749,"Presidente",1989,"Turno 1"
"Sergipe","Ulysses Guimarães ","PMDB","PMDB",12161,0.0179860964412983,"Presidente",1989,"Turno 1"
"Bahia","Ulysses Guimarães ","PMDB","PMDB",638007,0.943611169494563,"Presidente",1989,"Turno 1"
