estado,nome,partido,coligacao,votos,porcentagem,cargo,ano,turno
Pará,Ulysses Guimarães ,PMDB,PMDB,66384,0.1,Presidente,1989,Turno 1
Amapá,Ulysses Guimarães ,PMDB,PMDB,3883,0.01,Presidente,1989,Turno 1
Tocantins,Ulysses Guimarães ,PMDB,PMDB,32701,0.05,Presidente,1989,Turno 1
Maranhão,Ulysses Guimarães ,PMDB,PMDB,72794,0.11,Presidente,1989,Turno 1
Piauí,Ulysses Guimarães ,PMDB,PMDB,61037,0.09,Presidente,1989,Turno 1
Ceará,Ulysses Guimarães ,PMDB,PMDB,85406,0.13,Presidente,1989,Turno 1
R. G. do Norte,Ulysses Guimarães ,PMDB,PMDB,139093,0.21,Presidente,1989,Turno 1
Paraíba,Ulysses Guimarães ,PMDB,PMDB,97634,0.14,Presidente,1989,Turno 1
Pernambuco,Ulysses Guimarães ,PMDB,PMDB,89991,0.13,Presidente,1989,Turno 1
Alagoas,Ulysses Guimarães ,PMDB,PMDB,9138,0.01,Presidente,1989,Turno 1
Sergipe,Ulysses Guimarães ,PMDB,PMDB,12161,0.02,Presidente,1989,Turno 1
Bahia,Ulysses Guimarães ,PMDB,PMDB,638007,0.94,Presidente,1989,Turno 1
Minas Gerais,Ulysses Guimarães ,PMDB,PMDB,459308,0.68,Presidente,1989,Turno 1
Espírito Santo,Ulysses Guimarães ,PMDB,PMDB,71408,0.11,Presidente,1989,Turno 1
Rio de Janeiro,Ulysses Guimarães ,PMDB,PMDB,124752,0.18,Presidente,1989,Turno 1
São Paulo,Ulysses Guimarães ,PMDB,PMDB,331576,0.49,Presidente,1989,Turno 1
Paraná,Ulysses Guimarães ,PMDB,PMDB,144687,0.21,Presidente,1989,Turno 1
Santa Catarina,Ulysses Guimarães ,PMDB,PMDB,242757,0.36,Presidente,1989,Turno 1
R. G. do Sul,Ulysses Guimarães ,PMDB,PMDB,185433,0.27,Presidente,1989,Turno 1
M. G. do Sul,Ulysses Guimarães ,PMDB,PMDB,44130,0.07,Presidente,1989,Turno 1
Mato Grosso,Ulysses Guimarães ,PMDB,PMDB,56209,0.08,Presidente,1989,Turno 1
Goiás,Ulysses Guimarães ,PMDB,PMDB,157355,0.23,Presidente,1989,Turno 1
Distrito Federal,Ulysses Guimarães ,PMDB,PMDB,26167,0.04,Presidente,1989,Turno 1
Rondônia,Roberto Freire  ,PCB,PCB,2267,0,Presidente,1989,Turno 1
Acre,Roberto Freire  ,PCB,PCB,651,0,Presidente,1989,Turno 1
Amazonas,Roberto Freire  ,PCB,PCB,4744,0.01,Presidente,1989,Turno 1
Roraima,Roberto Freire  ,PCB,PCB,339,0,Presidente,1989,Turno 1
Pará,Roberto Freire  ,PCB,PCB,13645,0.02,Presidente,1989,Turno 1
Amapá,Roberto Freire  ,PCB,PCB,893,0,Presidente,1989,Turno 1
Tocantins,Roberto Freire  ,PCB,PCB,1096,0,Presidente,1989,Turno 1
Maranhão,Roberto Freire  ,PCB,PCB,12672,0.02,Presidente,1989,Turno 1
Piauí,Roberto Freire  ,PCB,PCB,7303,0.01,Presidente,1989,Turno 1
Ceará,Roberto Freire  ,PCB,PCB,23037,0.03,Presidente,1989,Turno 1
R. G. do Norte,Roberto Freire  ,PCB,PCB,10628,0.02,Presidente,1989,Turno 1
Paraíba,Roberto Freire  ,PCB,PCB,12173,0.02,Presidente,1989,Turno 1
Pernambuco,Roberto Freire  ,PCB,PCB,98651,0.15,Presidente,1989,Turno 1
Alagoas,Roberto Freire  ,PCB,PCB,5674,0.01,Presidente,1989,Turno 1
Sergipe,Roberto Freire  ,PCB,PCB,6122,0.01,Presidente,1989,Turno 1
Bahia,Roberto Freire  ,PCB,PCB,29803,0.04,Presidente,1989,Turno 1
Minas Gerais,Roberto Freire  ,PCB,PCB,99672,0.15,Presidente,1989,Turno 1
Espírito Santo,Roberto Freire  ,PCB,PCB,10476,0.02,Presidente,1989,Turno 1
Rio de Janeiro,Roberto Freire  ,PCB,PCB,154021,0.23,Presidente,1989,Turno 1
São Paulo,Roberto Freire  ,PCB,PCB,140539,0.21,Presidente,1989,Turno 1
Paraná,Roberto Freire  ,PCB,PCB,30021,0.04,Presidente,1989,Turno 1
Santa Catarina,Roberto Freire  ,PCB,PCB,13965,0.02,Presidente,1989,Turno 1
R. G. do Sul,Roberto Freire  ,PCB,PCB,45475,0.07,Presidente,1989,Turno 1
M. G. do Sul,Roberto Freire  ,PCB,PCB,6040,0.01,Presidente,1989,Turno 1
Mato Grosso,Roberto Freire  ,PCB,PCB,4375,0.01,Presidente,1989,Turno 1
Goiás,Roberto Freire  ,PCB,PCB,9656,0.01,Presidente,1989,Turno 1
Distrito Federal,Roberto Freire  ,PCB,PCB,24865,0.04,Presidente,1989,Turno 1
Rondônia,Aureliano Chaves ,PFL,PFL,2991,0,Presidente,1989,Turno 1
Acre,Aureliano Chaves ,PFL,PFL,797,0,Presidente,1989,Turno 1
Amazonas,Aureliano Chaves ,PFL,PFL,3471,0.01,Presidente,1989,Turno 1
Roraima,Aureliano Chaves ,PFL,PFL,459,0,Presidente,1989,Turno 1
Pará,Aureliano Chaves ,PFL,PFL,10919,0.02,Presidente,1989,Turno 1
Amapá,Aureliano Chaves ,PFL,PFL,695,0,Presidente,1989,Turno 1
Tocantins,Aureliano Chaves ,PFL,PFL,1563,0,Presidente,1989,Turno 1
Maranhão,Aureliano Chaves ,PFL,PFL,16189,0.02,Presidente,1989,Turno 1
Piauí,Aureliano Chaves ,PFL,PFL,18819,0.03,Presidente,1989,Turno 1
Ceará,Aureliano Chaves ,PFL,PFL,23518,0.03,Presidente,1989,Turno 1
R. G. do Norte,Aureliano Chaves ,PFL,PFL,5992,0.01,Presidente,1989,Turno 1
Paraíba,Aureliano Chaves ,PFL,PFL,9110,0.01,Presidente,1989,Turno 1
Pernambuco,Aureliano Chaves ,PFL,PFL,19590,0.03,Presidente,1989,Turno 1
Alagoas,Aureliano Chaves ,PFL,PFL,10677,0.02,Presidente,1989,Turno 1
