estado,partido,votos,eleicao,ano
R. G. do Norte,PL,NA,Camara dos Deputados 1986,1986
Paraíba,PL,9536,Camara dos Deputados 1986,1986
Pernambuco,PL,8027,Camara dos Deputados 1986,1986
Alagoas,PL,1735,Camara dos Deputados 1986,1986
Sergipe,PL,13217,Camara dos Deputados 1986,1986
Bahia,PL,NA,Camara dos Deputados 1986,1986
Minas Gerais,PL,92441,Camara dos Deputados 1986,1986
Espírito Santo,PL,NA,Camara dos Deputados 1986,1986
Rio de Janeiro,PL,509468,Camara dos Deputados 1986,1986
São Paulo,PL,628144,Camara dos Deputados 1986,1986
Paraná,PL,16285,Camara dos Deputados 1986,1986
Santa Catarina,PL,NA,Camara dos Deputados 1986,1986
R. G. do Sul,PL,16238,Camara dos Deputados 1986,1986
M. G. do Sul,PL,NA,Camara dos Deputados 1986,1986
Mato Grosso,PL,24172,Camara dos Deputados 1986,1986
Goiás,PL,2169,Camara dos Deputados 1986,1986
Distrito Federal,PL,5697,Camara dos Deputados 1986,1986
Rondônia,PDC,362,Camara dos Deputados 1986,1986
Acre,PDC,NA,Camara dos Deputados 1986,1986
Amazonas,PDC,1016,Camara dos Deputados 1986,1986
Roraima,PDC,NA,Camara dos Deputados 1986,1986
Pará,PDC,NA,Camara dos Deputados 1986,1986
Amapá,PDC,NA,Camara dos Deputados 1986,1986
Maranhão,PDC,NA,Camara dos Deputados 1986,1986
Piauí,PDC,NA,Camara dos Deputados 1986,1986
Ceará,PDC,6981,Camara dos Deputados 1986,1986
R. G. do Norte,PDC,NA,Camara dos Deputados 1986,1986
Paraíba,PDC,NA,Camara dos Deputados 1986,1986
Pernambuco,PDC,2458,Camara dos Deputados 1986,1986
Alagoas,PDC,1002,Camara dos Deputados 1986,1986
Sergipe,PDC,NA,Camara dos Deputados 1986,1986
Bahia,PDC,3286,Camara dos Deputados 1986,1986
Minas Gerais,PDC,16065,Camara dos Deputados 1986,1986
Espírito Santo,PDC,1193,Camara dos Deputados 1986,1986
Rio de Janeiro,PDC,149763,Camara dos Deputados 1986,1986
São Paulo,PDC,100917,Camara dos Deputados 1986,1986
Paraná,PDC,22522,Camara dos Deputados 1986,1986
Santa Catarina,PDC,4015,Camara dos Deputados 1986,1986
R. G. do Sul,PDC,NA,Camara dos Deputados 1986,1986
M. G. do Sul,PDC,NA,Camara dos Deputados 1986,1986
Mato Grosso,PDC,1690,Camara dos Deputados 1986,1986
Goiás,PDC,240703,Camara dos Deputados 1986,1986
Distrito Federal,PDC,13048,Camara dos Deputados 1986,1986
Rondônia,PSB,7233,Camara dos Deputados 1986,1986
Acre,PSB,NA,Camara dos Deputados 1986,1986
Amazonas,PSB,63822,Camara dos Deputados 1986,1986
Roraima,PSB,607,Camara dos Deputados 1986,1986
Pará,PSB,NA,Camara dos Deputados 1986,1986
Amapá,PSB,NA,Camara dos Deputados 1986,1986
Maranhão,PSB,3191,Camara dos Deputados 1986,1986
Piauí,PSB,NA,Camara dos Deputados 1986,1986
Ceará,PSB,14732,Camara dos Deputados 1986,1986
R. G. do Norte,PSB,NA,Camara dos Deputados 1986,1986
Paraíba,PSB,2292,Camara dos Deputados 1986,1986
Pernambuco,PSB,9732,Camara dos Deputados 1986,1986
Alagoas,PSB,12694,Camara dos Deputados 1986,1986
Sergipe,PSB,16538,Camara dos Deputados 1986,1986
Bahia,PSB,3508,Camara dos Deputados 1986,1986
Minas Gerais,PSB,9505,Camara dos Deputados 1986,1986
Espírito Santo,PSB,3756,Camara dos Deputados 1986,1986
Rio de Janeiro,PSB,129201,Camara dos Deputados 1986,1986
São Paulo,PSB,120364,Camara dos Deputados 1986,1986
Paraná,PSB,9378,Camara dos Deputados 1986,1986
Santa Catarina,PSB,NA,Camara dos Deputados 1986,1986
R. G. do Sul,PSB,30296,Camara dos Deputados 1986,1986
M. G. do Sul,PSB,NA,Camara dos Deputados 1986,1986
Mato Grosso,PSB,1602,Camara dos Deputados 1986,1986
Goiás,PSB,1586,Camara dos Deputados 1986,1986
Distrito Federal,PSB,10911,Camara dos Deputados 1986,1986
Rondônia,PCB,1019,Camara dos Deputados 1986,1986
Acre,PCB,NA,Camara dos Deputados 1986,1986
Amazonas,PCB,1753,Camara dos Deputados 1986,1986
Roraima,PCB,NA,Camara dos Deputados 1986,1986
Pará,PCB,7164,Camara dos Deputados 1986,1986
Amapá,PCB,764,Camara dos Deputados 1986,1986
Maranhão,PCB,352,Camara dos Deputados 1986,1986
Piauí,PCB,NA,Camara dos Deputados 1986,1986
Ceará,PCB,8927,Camara dos Deputados 1986,1986
R. G. do Norte,PCB,NA,Camara dos Deputados 1986,1986
Paraíba,PCB,NA,Camara dos Deputados 1986,1986
Pernambuco,PCB,77118,Camara dos Deputados 1986,1986
Alagoas,PCB,NA,Camara dos Deputados 1986,1986
Sergipe,PCB,NA,Camara dos Deputados 1986,1986
Bahia,PCB,41491,Camara dos Deputados 1986,1986
Minas Gerais,PCB,33966,Camara dos Deputados 1986,1986
Espírito Santo,PCB,NA,Camara dos Deputados 1986,1986
Rio de Janeiro,PCB,29163,Camara dos Deputados 1986,1986
São Paulo,PCB,121231,Camara dos Deputados 1986,1986
